Code,Name,Type,Internal,External,Back Paper,Grade
KAS201T,Engineering Physics,Theory,34,53,--,C
KAS203T,Engineering Mathematics-II,Theory,34,45,--,C
KEE201T,Basic Electrical Engineering,Theory,41,60,--,B
KME201T,Fundamentals of Mechanical Engineering & Mechatronics,Theory,30,60,--,B
KMC201,AI For Engineering,Theory,18,15,--,B
KAS251P,Engineering Physics Lab,Practical,23,24,--,A+
KEE251P,Basic Electrical Engineering Lab,Practical,22,21,--,A
KAS254P,English Language Lab,Practical,22,24,--,A+
KCE251P,Engineering Graphics & Design Lab,Practical,35,25,--,B
KNC201,Soft Skill II,CA,15,14,--,
